generic_name,cell_line,replicate,GR_AOC,GRmax,GEC50,GR50
prexasertib,SUM44PE,2,0.5112972871716664,0.0681253304242186,7.78098544329254e-05,8.480208204967399e-05
prexasertib,SUM44PE,3,0.5905793849143254,-0.7848865560717119,0.011862336947337347,0.0023669089142824757
prexasertib,SUM52PE,1,0.33593625364269053,-0.1765161185001297,0.011405715005541753,0.0056335170433372125
prexasertib,SUM52PE,2,0.3932764736305925,-0.5650155552960259,0.026074286221100314,0.00484471556068646
prexasertib,SUM52PE,3,0.5297919013702279,-0.1351767405910214,0.0020527289033760296,0.0011076103019120815
prexasertib,T47D,1,0.12359350878696024,0.3963767791638193,0.820744127993011,2.1215383127933083
prexasertib,T47D,2,0.19274818274806274,0.471633533571296,0.6377077152011799,7.73743166089163
prexasertib,T47D,3,0.22311696709674644,0.3792425534001185,0.7825724562050506,3.6174773699096665
prexasertib,UACC812,1,0.065139331107652,0.6078561562705043,0.0,100.0
prexasertib,UACC812,2,-0.002496543963202688,0.5149123534869944,0.0,100.0
prexasertib,UACC812,3,-0.04846313604820187,0.4617461161965586,0.0,100.0
prexasertib,UACC893,1,0.0970124783307267,0.4101256083690961,0.5133705482125986,0.08261166256564834
prexasertib,UACC893,2,0.22957587925564915,0.3210646709640825,0.6018749459625283,0.03199810177036035
prexasertib,UACC893,3,0.18717096827545715,0.3650399250092373,1.3607882083558192,0.06769336548841899
prexasertib,ZR751,1,0.2904785650475466,0.3719033873450446,0.0008270117224902205,0.0016569033664610257
prexasertib,ZR751,2,0.32355562551088485,0.3615000392765551,0.0005802837092256006,0.0017424667057830882
prexasertib,ZR751,3,0.2851523235076309,0.3340368191239609,0.000833213877941937,0.0011514926227711262
prexasertib,ZR7530,1,0.0837117129703621,0.5168716801786848,0.011078311742985295,100.0
prexasertib,ZR7530,2,0.0525424043914882,0.6058782872052249,0.0,100.0
ribociclib,184A1,1,0.4847521684462889,0.1085961727087627,30.479368531313696,0.17728840888637293
ribociclib,184A1,2,0.3814433225423037,0.3056954074471967,47.03856250147222,0.41240798275394586
ribociclib,184A1,3,0.5023068806167575,0.110712537327104,0.2725330178586624,0.1056847662606247
ribociclib,AU565,1,0.4085708555319625,0.1995318957055321,168.71422841327464,0.5651685370019911
ribociclib,AU565,2,0.36224016716011875,0.3039476596395316,473.92280072118274,1.258097094274822
ribociclib,AU565,3,0.4365557640351706,0.2272573631058585,324.8031612578593,0.40935829210797525
ribociclib,BT20,1,0.41879085236148705,0.0702906778647332,37.59937213832842,0.40532601530773865
ribociclib,BT20,2,0.44844470018973226,0.0569111105445647,69.75967962085744,0.28853789381786166
ribociclib,BT20,3,0.43103993414023556,0.148853831543299,150.7916369478057,0.39385497755579973
ribociclib,BT474,1,0.3600600770962271,0.6003225253417503,0.0,100.0
ribociclib,BT474,2,0.43530866277047847,0.4245052699517333,0.0,100.0
ribociclib,BT474,3,0.4403023090908044,0.5741419863014543,0.0,100.0
ribociclib,BT549,1,-0.02432644453721975,1.0055968917954623,0.0,100.0
ribociclib,BT549,2,0.036730714015379876,0.9657248410677456,0.0,100.0
ribociclib,BT549,3,0.01812904712805614,0.9203377066094232,0.0,100.0
ribociclib,CAL120,1,0.2505157247974129,0.5653668274590635,1000.0,456.2956363717707
ribociclib,CAL120,2,0.26714717154153644,0.6309026749794564,0.008348331421493662,100.0
ribociclib,CAL120,3,0.2767317812746868,0.5943212914165943,0.007880449654300814,100.0
ribociclib,CAL51,1,0.2974053215366581,0.3958168617348561,782.6338169418246,3.77210187713674
ribociclib,CAL51,2,0.29841773587923726,0.4251437661799407,3.9645544659766556,4.227680014649445
ribociclib,CAL51,3,0.30233077127047125,0.3351217986300285,666.4499704769207,3.268712568201932
ribociclib,CAL851,1,0.08133276992081723,0.9149773129448092,0.0,100.0
ribociclib,CAL851,2,0.06842718815695778,1.0428438623854115,0.0,100.0
ribociclib,CAL851,3,0.10729152329670458,1.1277350807838564,0.0,100.0
ribociclib,CAMA1,1,0.5641498461694262,0.0388724268540017,0.017172844795854965,0.028827710935645574
ribociclib,CAMA1,2,0.6966543694839953,0.0368172692469894,0.004304419917244033,0.00536457387816038
ribociclib,CAMA1,3,0.6917268568972725,0.141469402811011,0.0027864931296233794,0.004979916464649616
ribociclib,EFM19,1,0.31050395646541284,0.4578165802094083,0.07891269380176873,3.3430176965723115
ribociclib,EFM19,2,0.33972340672976875,0.3384005494163429,1.4677972455912913,1.0769760454772834
ribociclib,EFM19,3,0.295309499454841,0.3457398055802279,7.1502492828431325,1.9618523666961445
ribociclib,EVSAT,1,0.1416501566510181,0.6120846837724501,0.2780654445366247,100.0
ribociclib,EVSAT,2,0.1161422977318329,0.7891026143753113,0.09018363713424243,100.0
ribociclib,EVSAT,3,0.11725624810782076,0.6203151643474272,1000.0,53.61854446646158
ribociclib,HCC1143,1,0.2663798111967059,0.2675434416765145,226.40496816346152,3.5162096938208274
ribociclib,HCC1143,2,0.2765963870673756,0.3112524632697575,389.34013812939963,3.72579637915595
ribociclib,HCC1143,3,0.26608723905054155,0.3151116546183949,235.06622614872578,3.743449039416523
ribociclib,HCC1187,1,-0.10870667181296029,-0.2135948670700239,0.0,100.0
ribociclib,HCC1187,2,0.07215929316243538,0.9221288554746871,0.0,100.0
