agent,cell_line,GR_AOC,sigma_GR_AOC,GRmax,sigma_GRmax,GEC50,sigma_GEC50
Volasertib/BI6727,CAL51,0.6787374802921181,0.027269997732507472,-0.33714929342100225,0.014999698863038344,0.006859363647194149,0.0009174194988997765
Volasertib/BI6727,CAL851,0.717147219500379,0.06350735931489293,-0.2890793321165027,0.041882373527907926,0.003946692487386529,0.0005804963096225813
Volasertib/BI6727,CAMA1,0.6740123383505554,0.08748565984271604,-0.2964974843638945,0.017687270212866816,0.008932757863462005,0.0022485948699020445
Volasertib/BI6727,EFM19,0.7406444734290406,0.033477416335390586,-0.5771064653411789,0.01073683196496611,0.011720801827997484,0.0010613648941666832
Volasertib/BI6727,EVSAT,0.6435042451980789,0.05589250424396209,-0.3938709570630368,0.05729130578343134,0.011141994619575582,0.003210184479098236
Volasertib/BI6727,HCC1143,0.7289926910536869,0.03155830343430064,-0.3472135001061175,0.029117398688497966,0.006041979813802901,0.0006869114969645512
Volasertib/BI6727,HCC1187,0.8829404303912275,0.14196848298452328,-0.7076683899320679,0.035955952369912496,0.01218048247729471,0.0037924381800844053
Volasertib/BI6727,HCC1395,0.7588938610233433,0.056804467410995436,-0.29619247927064274,0.018258586513690393,0.003882615032251172,0.0009316374067733535
Volasertib/BI6727,HCC1419,0.3252110119447781,0.03515212971306792,0.0629977712975496,0.058171281221354884,0.018282847341197332,0.0027285234261812965
Volasertib/BI6727,HCC1428,0.3946890481263837,0.061465761253774946,-0.04144493268645395,0.04441406705684798,0.018358005484714043,0.003073136975220799
Volasertib/BI6727,HCC1500,0.29655204802096613,0.08917924261901827,0.2452026071937251,0.14387507223880475,0.011692289428558548,0.008391887346543527
Volasertib/BI6727,HCC1569,0.382624398172337,0.09695437761571231,-0.011582662288442966,0.03503515715637796,0.01899085850711911,0.0011313715831846784
Volasertib/BI6727,HCC1806,0.7257264095651393,0.023391673429321753,-0.14246439430556926,0.02113922113343096,0.0028518973678540917,0.0003999918516793229
Volasertib/BI6727,HCC1937,0.4966148148259017,0.07140024426640423,-0.15222091844520286,0.06940932092428131,0.01393830131912118,0.0038177532430075894
Volasertib/BI6727,HCC1954,0.6106228125204816,0.06537048938359023,-0.17528032176196295,0.029319132120990472,0.00707576524171751,0.002242355593565489
Volasertib/BI6727,HCC202,0.38032872607559604,0.07159831997112083,0.21888570021373643,0.06279836676949974,0.011196990285706462,0.006605589800150708
Volasertib/BI6727,HCC38,0.5895141495383704,0.04903515498496918,-0.262822002023869,0.060956970273914945,0.009159103532272565,0.001451260785714965
Volasertib/BI6727,HCC70,0.5787823615603889,0.15468502397812847,-0.20489056926167493,0.043973285970623256,0.006667139405519497,0.002155319017841923
Volasertib/BI6727,HS578T,0.8197999560842262,0.023405876738838448,-0.31432967015958896,0.040277458756494945,0.003051650320432,0.0004438334881381387
Volasertib/BI6727,HTERT_HME1,0.4153642660109024,0.06691131791675577,-0.08170727372354225,0.010318495255536674,0.017909986169725126,0.0024940466758129214
Volasertib/BI6727,MCF10A,0.4465882225213884,0.014200594464289028,-0.0924794372928289,0.029210106624718964,0.02331348296427296,0.0023755710299776557
Volasertib/BI6727,MCF12A,0.32091831564564227,0.01810388796103627,-0.020317769087223297,0.022289829335222004,0.0545853049251033,0.015961202141400822
Volasertib/BI6727,MCF7,0.6047363706898491,0.03253002924496404,-0.03378112297228327,0.02092745680525581,0.0027809926859580667,0.0005122752861667357
Volasertib/BI6727,MDAMB157,0.85076798080322,0.05108600481752918,-0.664396202577792,0.01024938175716374,0.008360355798105873,0.0011367828784534708
Volasertib/BI6727,MDAMB175VII,0.4485920073382874,0.10200754511036422,-0.13528333644430285,0.14140880335636857,0.012201430525936186,0.0010137342387912221
Volasertib/BI6727,MDAMB231,0.5841164373051257,0.02604814991410505,-0.03027449018911165,0.021041553454850145,0.0045616854093832255,0.0010396192745991243
Volasertib/BI6727,MDAMB330,0.7783747247749898,0.09831961630746104,-0.2608264781420059,0.24430345283303154,0.003613317489964893,0.0010746565790879313
Volasertib/BI6727,MDAMB361,0.7931012337983119,0.06246959472076912,-0.49718931672211475,0.06523060351877034,0.0045008693510262265,0.0011581850407745794
Volasertib/BI6727,MDAMB415,0.5456396443754128,0.043827913300423633,-0.3365408847852032,0.1329806397900493,0.014559456444963877,0.003521244827218456
Volasertib/BI6727,MDAMB436,0.6615864872622175,0.041624894850615095,-0.17921411343148075,0.041617756582555385,0.005840071105009985,0.0016124282273855635
Volasertib/BI6727,MDAMB453,0.4879256353153636,0.05935533413189023,-0.201292423010589,0.03635510297627177,0.007522604399238684,0.0012990817905407092
Volasertib/BI6727,MDAMB468,0.9278536351815166,0.03679335358592573,-0.44845613714570837,0.030529515788718875,0.0026082090736956197,0.0003153211277874674
Volasertib/BI6727,MGH312,0.8011281911065667,0.062112685046042254,-0.6747399698508029,0.030181155599351518,0.009332910997481328,0.0006393277070877688
Volasertib/BI6727,PDX1258,0.5491928199166323,0.04567952239368192,-0.232021273242763,0.022689991117911017,0.008345136002908288,0.0014053099815922933
Volasertib/BI6727,PDX1328,0.8415901700772492,0.08859710068094256,-0.5368900441517352,0.07274181002076514,0.006078716356635462,0.001884507809349564
Volasertib/BI6727,PDXHCI002,0.8306676453676414,0.017019982827288307,-0.5892347118576425,0.018064022793787035,0.004332689999374895,0.000389874688734478
Volasertib/BI6727,SKBR3,0.6935715607743549,0.03542743571255011,-0.34942083367580196,0.030379593030040217,0.0061011219324724215,0.0006417862882160689
Volasertib/BI6727,SUM1315,0.664275371354285,0.04991160013623977,-0.4060204091508782,0.021698888276195163,0.012071147949793415,0.0007289429719176779
Volasertib/BI6727,SUM149,0.568804110508678,0.042644546416875,-0.29664073021325954,0.058998118268712575,0.014172325854351941,0.001608076901660057
Volasertib/BI6727,SUM159,0.3915326468743262,0.020171157999319192,0.023944223888194012,0.042175939493374275,0.02428665038642253,0.003345897263803207
Volasertib/BI6727,SUM185PE,0.2860798017635864,0.11036646664879912,0.27982615422185686,0.044035290264374055,0.016367014507792422,0.007851811077551918
Volasertib/BI6727,SUM190PT,0.6208597289721575,0.12600013103273855,-0.3430667806706438,0.12110935282979758,0.009197273635994992,0.0014727994159539892
Volasertib/BI6727,SUM229PE,0.6049490381394752,0.08455322524419154,-0.35953829979566254,0.05129404861247285,0.017274497520489884,0.001970573458117009
Volasertib/BI6727,SUM44PE,0.6229137004922158,0.12614274249329305,-0.2924852013305925,0.0692160107030601,0.009507927651378504,0.0030308228999535993
Volasertib/BI6727,SUM52PE,0.4883755391948106,0.033463863132218934,-0.4091884693221724,0.0380680508653274,0.025499113081698194,0.0017172605171501664
Volasertib/BI6727,T47D,0.38446083738232634,0.03094598236066775,-0.15846750258068348,0.03456269232556789,0.0368058790672448,0.005598149035641105
Volasertib/BI6727,UACC812,0.7343678907574823,0.1833110218274136,-0.4961862219898496,0.09969417670735395,0.011359063209397108,0.0008773289960926738
Volasertib/BI6727,UACC893,0.8132000648150047,0.09299892892956851,-0.4235696953628386,0.07292574898731731,0.004478756778175268,0.0014286823121222793
Volasertib/BI6727,ZR751,0.26332169882829093,0.05159294876258913,-0.16950850931029718,0.03608790713036733,0.13929996563590605,0.026348224666875017
Volasertib/BI6727,ZR7530,0.7531061214711634,0.04247700110649206,-0.41991069914611323,0.05104566143242757,0.0066814099601922635,0.0005434966225032196
Vorinostat,184A1,0.18817169982129192,0.036824506831001955,-0.0467768188502008,0.0029926581112516963,7.612049368583993,1.981365917445956
Vorinostat,AU565,0.3269751195427746,0.041301041239902005,-0.5066147125074458,0.09063893840661624,1.426374182832045,0.19289131205856824
Vorinostat,BT20,0.15073000668712205,0.006944619893375586,-0.11342833871111323,0.017827425662804066,2.905241852083569,0.43564074282597287
